pmid,title,abstract,authors,journal,publication_date,retrieved_with_keyword
32479497,Chikungunya in Indonesia: Epidemiology and diagnostic challenges.,"BACKGROUND: Chikungunya virus (CHIKV) is often overlooked as an etiology of fever in tropical and sub-tropical regions. Lack of diagnostic testing capacity in these areas combined with co-circulation of clinically similar pathogens such as dengue virus (DENV), hinders CHIKV diagnosis. To better address CHIKV in Indonesia, an improved understanding of epidemiology, clinical presentation, and diagnostic approaches is needed. METHODOLOGY/PRINCIPAL FINDINGS: Acutely hospitalized febrile patients >/=1-year-old were enrolled in a multi-site observational cohort study conducted in Indonesia from 2013 to 2016. Demographic and clinical data were collected at enrollment; blood specimens were collected at enrollment, once during days 14 to 28, and three months after enrollment. Plasma samples negative for DENV by serology and/or molecular assays were screened for evidence of acute CHIKV infection (ACI) by serology and molecular assays. To address the co-infection of DENV and CHIKV, DENV cases were selected randomly to be screened for evidence of ACI. ACI was confirmed in 40/1,089 (3.7%) screened subjects, all of whom were DENV negative. All 40 cases initially received other diagnoses, most commonly dengue fever, typhoid fever, and leptospirosis. ACI was found at five of the seven study cities, though evidence of prior CHIKV exposure was observed in 25.2% to 45.9% of subjects across sites. All subjects were assessed during hospitalization as mildly or moderately ill, consistent with the Asian genotype of CHIKV. Subjects with ACI had clinical presentations that overlapped with other common syndromes, atypical manifestations of disease, or persistent or false-positive IgM against Salmonella Typhi. Two of the 40 cases were possibly secondary ACI. CONCLUSIONS/SIGNIFICANCE: CHIKV remains an underdiagnosed acute febrile illness in Indonesia. Public health measures should support development of CHIKV diagnostic capacity. Improved access to point-of-care diagnostic tests and clinical training on presentations of ACI will facilitate appropriate case management such as avoiding unneccessary treatments or antibiotics, early response to control mosquito population and eventually reducing disease transmission.","Arif M, Tauran P, Kosasih H, Pelupessy NM, Sennang N, Mubin RH, Sudarmono P, Tjitra E, Murniati D, Alam A, Gasem MH, Aman AT, Lokida D, Hadi U, Parwati KTM, Lau CY, Neal A, Karyana M",PLoS Negl Trop Dis,2020 Jun,Dengue Fever AND Indonesia
35062303,"Co-Circulation of Chikungunya and Multiple DENV Serotypes and Genotypes, Western Indonesia 2015-2016.","Dengue is a mosquito-borne disease of public health concern affecting tropical and subtropical countries, including Indonesia. Although studies on dengue epidemiology have been undertaken in Indonesia, data are lacking in many areas of the country. The aim of this study was to determine dengue virus (DENV) and chikungunya virus (CHIKV) molecular epidemiology in western regions of the Indonesian archipelago. A one-year prospective study was conducted in Aceh and Jambi in 2015 and 2016, respectively, where patients with dengue-like illness were enrolled. Of 205 patients recruited, 29 and 27 were confirmed with dengue in Aceh and Jambi, respectively, and three from Jambi were confirmed with chikungunya. DENV-1 was the predominant serotype identified in Aceh while DENV-2 was predominant in Jambi. All DENV-1 and DENV-2 from both regions were classified as Genotype I and Cosmopolitan genotype, respectively, and all DENV-3 viruses from Jambi were Genotype I. Some viruses, in particular DENV-1, displayed a distinct lineage distribution, where two DENV-1 lineages from Aceh were more closely related to viruses from China instead of Jambi highlighting the role of travel and flight patterns on DENV transmission in the region. DENV-2 from both Aceh and Jambi and DENV-3 from Jambi were all closely related to Indonesian local strains. All three CHIKV belonged to Asian genotype and clustered closely with Indonesian CHIKV strains including those previously circulating in Jambi in 2015, confirming continuous and sustainable transmission of CHIKV in the region. The study results emphasize the importance of continuous epidemiological surveillance of arboviruses in Indonesia and simultaneous testing for CHIKV among dengue-suspected patients.","Harapan H, Michie A, Ernst T, Panta K, Mudatsir M, Yohan B, Haryanto S, McCarthy S, Sasmono RT, Imrie A",Viruses,2022 Jan 6,Dengue Fever AND Indonesia
35282645,A Comparison of the Accuracy of Handheld Hemoglobinometer and Hematocrit Measurements for Detecting Plasma Leakage in Dengue Hemorrhagic Fever.,"PURPOSE: Practical methods for detecting plasma leakage should be readily available in all areas where dengue is endemic. We compared the accuracy of measurements obtained with a handheld HemoCue((R)) Hb 201 instrument used for hemoglobin point-of-care testing (Hb-POCT) with that of measurements of hematocrit (Ht) levels for detecting plasma leakage in dengue patients. PATIENTS AND METHODS: We performed both measurements using the HemoCue((R)) Hb201 system and microhematocrit method on EDTA blood taken from dengue patients at three time points during their hospitalization. Ascites, pleural effusion, or gallbladder thickening determined through ultrasound examinations were considered the gold standard for determining dengue hemorrhagic fever (DHF) versus dengue fever (DF). RESULTS: Close agreement between Hb-POCT and Ht measurements was indicated by an r square value of 0.845 in a linear regression. The sensitivity results for distinguishing between DHF and DF at admission were similar for Hb-POCT (63.6%) and Ht (66.7%) (Kappa = 0.75) using the optimal cutoff point determined via ROC analysis. Delta differences (in percentage) for Hb-POCT and Ht between the highest and lowest values showed lower sensitivity (45.5% and 48.5%, respectively; Kappa 0.60) when the optimal cutoff point was applied. Recommended cutoffs of >/=20% to confirm plasma leakage provided a slightly higher sensitivity using Hb-POCT (18.2%) compared with the sensitivity obtained using Ht (15.2%) with Kappa value of 97.9%. CONCLUSION: Our results showed that the accuracy of Hb POCT measurements was similar and not inferior to Ht measurements for detecting plasma leakage in patients with DHF. We recommend that further evaluations are conducted to determine the optimal cutoff point given the low sensitivity associated with using >/=20% Hb-POCT or Ht increases to determine hemoconcentration.","Riswari SF, Budiman MF, Darmayanti D, Ernawati, Prodjosoewojo S, Susandi E, Oehadian A, Alisjahbana B",Int J Gen Med,2022,Dengue Fever AND Indonesia
35644356,"Dengue virus population genetics in Yogyakarta, Indonesia prior to city-wide Wolbachia deployment.","Dengue has been endemic in Yogyakarta, Indonesia for decades. Here, we report the dengue epidemiology, entomology, and virology in Yogyakarta in 2016-2017, prior to the commencement of the Applying Wolbachia to Eliminate Dengue (AWED) randomized trial. Dengue epidemiological data were compiled and blood samples from dengue-suspected patients were tested for dengue virus (DENV). Ae. aegypti mosquito samples were caught from the field using BG-Sentinel traps and tested for the presence of DENV infection. Sequencing of the DENV E gene was used to determine the phylogeny and genotypes of circulating DENV. Within the last decade, the 2016-2017 dengue incidence was considered very high. Among the 649 plasma samples collected between March 2016-February 2017; and 36,910 mosquito samples collected between December 2016-May 2017, a total of 197 and 38 samples were DENV-positive by qRT-PCR, respectively. All four DENV serotypes were detected, with DENV-3 (n = 88; 44.67%) and DENV-1 (n = 87; 44.16%) as the predominant serotype, followed by DENV-4 (n = 12; 6.09%) and DENV-2 (n = 10; 5.08%). The Yogyakarta DENV-1 isolates were classified into Genotype I and IV, while DENV-2, DENV-3, and DENV-4 isolates were classified into the Cosmopolitan genotype, Genotype I, and Genotype II, respectively. Yogyakarta DENV isolates were closely related to Indonesian strains from neighboring Javanese cities, consistent with the endemic circulation of DENV on this highly populous island. Our study provides comprehensive baseline information on the DENV population genetic characteristics in Yogyakarta, which are useful as baseline data for the AWED trial and the future DENV surveillance in the city in the presence of a Wolbachia-infected Ae. aegypti population.","Arguni E, Indriani C, Rahayu A, Supriyati E, Yohan B, Hayati RF, Wardana S, Tantowijoyo W, Anshari MR, Rahayu E, Rubangi, Ahmad RA, Utarini A, Simmons CP, Sasmono RT",Infect Genet Evol,2022 Aug,Dengue Fever AND Indonesia
28531223,Dengue in Bali: Clinical characteristics and genetic diversity of circulating dengue viruses.,"A high number of dengue cases are reported annually in Bali. Despite the endemicity, limited data on dengue is available for Bali localities. Molecular surveillance study was conducted to explore the clinical and virological characteristics of dengue patients in urban Denpasar and rural Gianyar areas in Bali during the peak season in 2015. A total of 205 adult dengue-suspected patients were recruited in a prospective cross-sectional study. Demographic and clinical information were obtained, and dengue screening was performed using NS1 and IgM/IgG ELISAs. Viral RNA was subsequently extracted from patients' sera for serotyping using conventional RT-PCR and Simplexa Dengue real-time RT-PCR, followed by genotyping with sequencing method. We confirmed 161 patients as having dengue by NS1 and RT-PCR. Among 154 samples successfully serotyped, the DENV-3 was predominant, followed by DENV-1, DENV-2, and DENV-4. Serotype predominance was different between Denpasar and Gianyar. Genotyping results classify DENV-1 isolates into Genotype I and DENV-2 as Cosmopolitan Genotype. The classification grouped isolates into Genotype I and II for DENV-3 and DENV-4, respectively. Clinical parameters showed no relationship between infecting serotypes and severity. We observed the genetic diversity of circulating DENV isolates and their relatedness with historical data and importation to other countries. Our data highlights the role of this tourist destination as a potential source of dengue transmission in the region.","Megawati D, Masyeni S, Yohan B, Lestarini A, Hayati RF, Meutiawati F, Suryana K, Widarsa T, Budiyasa DG, Budiyasa N, Myint KSA, Sasmono RT",PLoS Negl Trop Dis,2017 May,Dengue Fever AND Indonesia
29016291,"Chikungunya Detection during Dengue Outbreak in Sumatra, Indonesia: Clinical Manifestations and Virological Profile.","Chikungunya fever (CHIK) is an acute viral infection caused by infection with chikungunya virus (CHIKV). The disease affects people in areas where certain Aedes species mosquito vectors are present, especially in tropical and subtropical countries. Indonesia has witnessed CHIK disease since the early 1970s with sporadic outbreaks occurring throughout the year. The CHIK clinical manifestation, characterized by fever, headache, and joint pain, is similar to that of dengue (DEN) disease. During a molecular study of a DEN outbreak in Jambi, Sumatra, in early 2015, DENV-negative samples were evaluated for evidence of CHIKV infection. Among 103 DENV-negative samples, eight samples were confirmed (7.8%) as positive for CHIKV by both molecular detection and virus isolation. The mean age of the CHIK patients was 21.3 +/- 9.1 (range 11-35 years). The clinical manifestations of the CHIK patients were mild and mimicked DEN, with fever and headache as the main symptoms. Only three out of eight patients presented with classical joint pain. Sequencing of the envelope glycoprotein E1 gene and phylogenetic analysis identified all CHIKV isolates as belonging to the Asian genotype. Overall, our study confirms sustained endemic CHIKV transmission and the presence of multiple arboviruses circulating during a DEN outbreak in Indonesia. The co-circulation of arboviruses poses a public health threat and is likely to cause misdiagnosis and underreporting of CHIK in DEN-endemic areas such as Indonesia.","Sasmono RT, Perkasa A, Yohan B, Haryanto S, Yudhaputri FA, Hayati RF, Ma'roef CN, Ledermann JP, Aye Myint KS, Powers AM",Am J Trop Med Hyg,2017 Nov,Dengue Fever AND Indonesia
32545688,Cost-Effectiveness of Dengue Vaccination in Indonesia: Considering Integrated Programs with Wolbachia-Infected Mosquitos and Health Education.,"Despite the fact that morbidity and mortality rates due to dengue infection in Indonesia are relatively high, a dengue vaccination has not yet been introduced. Next to vaccination, Wolbachia-infected mosquitoes and health education have been considered to be potential interventions to prevent dengue infection in Indonesia. This study was aimed to analyse the cost-effectiveness of dengue vaccination in Indonesia whilst taking Wolbachia and health education programs into account. An age-structured decision tree model was developed to assess the cost-effectiveness. Approximately 4,701,100 children were followed-up in a 10-year time horizon within a 1-year analytical cycle. We compared three vaccination strategies: one focussing on vaccination only, another combining vaccination and a Wolbachia program, and a third scenario combining vaccination and health education. All scenarios were compared with a no-intervention strategy. The result showed that only vaccination would reduce dengue fever (DF), dengue haemorrhagic fever (DHF), and dengue shock syndrome (DSS) by 123,203; 97,140 and 283 cases, respectively. It would save treatment cost at $10.3 million and $6.2 million from the healthcare and payer perspectives, respectively. The combination of vaccination and a Wolbachia program would reduce DF, DHF and DSS by 292,488; 230,541; and 672 cases, respectively. It would also save treatment cost at $24.3 million and $14.6 million from the healthcare and payer perspectives, respectively. The combination of vaccination and health education would reduce DF, DHF, and DSS by 187,986; 148,220; and 432 cases, respectively. It would save treatment cost at $15.6 million and $9.4 million from the healthcare and payer perspectives, respectively. The incremental cost-effectiveness ratios (ICERs) from the healthcare perspective were estimated to be $9,995, $4,460, and $6,399 per quality-adjusted life year (QALY) gained for the respective scenarios. ICERs from the payer perspective were slightly higher. It can be concluded that vaccination combined with a Wolbachia program was confirmed to be the most cost-effective intervention. Dengue infection rate, vaccine efficacy, cost of Wolbachia program, underreporting factor for hospitalization, vaccine price and mortality rate were considered to be the most influential parameters affecting the ICERs.","Suwantika AA, Kautsar AP, Supadmi W, Zakiyah N, Abdulah R, Ali M, Postma MJ",Int J Environ Res Public Health,2020 Jun 12,Dengue Fever AND Indonesia
31357059,"Clinical features and virological confirmation of perinatal dengue infection in Jambi, Indonesia: A case report.","The hyper-endemicity of dengue in Indonesia poses a significant threat of dengue virus (DENV) vertical transmission during pregnancy. A 29-year-old female at 38 weeks of pregnancy presented to hospital with acute fever and later confirmed with DENV infection. Due to signs of fetal distress, the neonate was delivered by emergency caesarean section. The mother developed a dengue critical phase post-caesarean with excessive bleeding and required blood transfusion. During the 6th day of life, the neonate was diagnosed and later confirmed with dengue. Next-generation sequencing of DENV RNA isolated directly from sera of both mother and neonate revealed identical DENV-2 whole-genome sequences. Plaque reduction neutralization test (PRNT) detected anti-dengue antibodies in both mother and neonate. Altogether, our data confirmed the occurrence of vertical transmission. Dengue vertical transmission during pregnancy may lead to severe manifestation, hence early diagnosis, close monitoring, and prompt intervention are critical.","Haryanto S, Yohan B, Santoso MS, Hayati RF, Denis D, Udjung GIVW, Herlambang, Kendarsari RI, Trimarsanto H, Sasmono RT",Int J Infect Dis,2019 Sep,Dengue Fever AND Indonesia
39634916,Coinfection With SARS-CoV-2 and Dengue Virus: A Case Report Highlighting Diagnostic Challenges.,"BACKGROUND: Since its emergence in China, SARS-CoV-2 has infected more than 240 million people worldwide, including in regions where dengue virus (DENV) is hyperendemic such as Latin America and Southeast Asia, including Indonesia. Diagnosis of COVID-19 in dengue endemic regions as well as DENV and SARS-CoV-2 co-infection can be challenging. CASE PRESENTATION: We describe a 68-year-old woman with diabetes mellitus type II who was admitted to the Tangerang District Hospital on 14 April 2020. She lived in a neighborhood where a few people were contracting dengue fever. She presented with five days of fever, malaise, anorexia, nausea, myalgia, and arthralgia. Hematology revealed anemia, thrombocytopenia, normal leukocyte count, increased neutrophil proportion, and decreased lymphocyte proportion and absolute lymphocytes. Her chest X-ray showed right pericardial infiltrates. Although dengue was clinically suspected, she was also tested for SARS-CoV-2 infection as she met screening criteria. After being confirmed SARS-CoV-2 positive by RT-PCR, she was treated with ceftriaxone, paracetamol, azithromycin, oseltamivir, and chloroquine. She was clinically improved four days later and discharged from the hospital on 25 April 2020 after SARS-CoV-2 RT-PCR was negative on two consecutive samples. Dengue was diagnosed retrospectively based on sero-conversion of dengue IgM and a very high dengue IgG index (ELISA, Focus Diagnostics((R)), Cypress, CA, USA), and sero-conversion of dengue IgM and positive IgG (Rapid test, PanBio ((R))Dengue duo cassette, Inverness Medical Innovations, QLD, AU), which was equivalent to high Hemagglutination Inhibition (HI) antibody titer (>/=1280) found in secondary dengue infection. CONCLUSION: The overlapping clinical presentations of COVID-19 and dengue; limited diagnostic capacity of laboratories in resource constrained settings; and complexities of interpreting results make identification of COVID-19 in the dengue endemic setting challenging. Clinicians in endemic areas must be aware of diagnostic challenges and maintain a high index of suspicion for COVID-19 coinfection with DENV and other tropical pathogens.","Hariadi P, Lokida D, Naysilla AM, Lukman N, Kosasih H, Mardian Y, Andru G, Pertiwi I, Sugiyono RI, Pradana AA, Salim G, Butar-Butar DP, Lau CY, Karyana M",Front Trop Dis,2022 Feb,Dengue Fever AND Indonesia
39641481,An integrated behavioral model approach to the control of dengue hemorrhagic fever and the role of waste management: A systematic review.,"Waste management practices are a concern for public health and environmental protection. This research examines the relationship between waste management and the incidence of dengue fever using the Integrated Behavioral Model (IBM) approach. The study adopted a systematic review methodology, which involved scanning multiple journal databases, including PubMed, ScienceDirect, Scopus, Web of Science, and ProQuest, and following the requirements of the Preferred Reporting Items for Systematic Reviews and Meta-analyses (PRISMA) checklist. We discovered 642 papers between 2018 and 2023. Articles derived from reviews, systematic reviews, and meta-analyses were among the exclusion criteria in this study. In contrast, original studies, English-language publications, and open access were the inclusion criteria. The results indicate that the management of trash and the prevention of dengue disease are closely related. In order to accomplish integrated urban waste management for the prevention of dengue fever, local governments must understand the community's concerns, preferences, knowledge, and behaviour and involve them in the process of providing municipal trash infrastructure.","Ruhardi A, Mahmudah M, Azizah R",Afr J Reprod Health,2024 Oct 31,Dengue Fever AND Indonesia
24195519,Cost of dengue outbreaks: literature review and country case studies.,"BACKGROUND: Dengue disease surveillance and vector surveillance are presumed to detect dengue outbreaks at an early stage and to save--through early response activities--resources, and reduce the social and economic impact of outbreaks on individuals, health systems and economies. The aim of this study is to unveil evidence on the cost of dengue outbreaks. METHODS: Economic evidence on dengue outbreaks was gathered by conducting a literature review and collecting information on the costs of recent dengue outbreaks in 4 countries: Peru, Dominican Republic, Vietnam, and Indonesia. The literature review distinguished between costs of dengue illness including cost of dengue outbreaks, cost of interventions and cost-effectiveness of interventions. RESULTS: Seventeen publications on cost of dengue showed a large range of costs from 0.2 Million US$ in Venezuela to 135.2 Million US$ in Brazil. However, these figures were not standardized to make them comparable. Furthermore, dengue outbreak costs are calculated differently across the publications, and cost of dengue illness is used interchangeably with cost of dengue outbreaks. Only one paper from Australia analysed the resources saved through active dengue surveillance. Costs of vector control interventions have been reported in 4 studies, indicating that the costs of such interventions are lower than those of actual outbreaks. Nine papers focussed on the cost-effectiveness of dengue vaccines or dengue vector control; they do not provide any direct information on cost of dengue outbreaks, but their modelling methodologies could guide future research on cost-effectiveness of national surveillance systems.The country case studies--conducted in very different geographic and health system settings - unveiled rough estimates for 2011 outbreak costs of: 12 million US$ in Vietnam, 6.75 million US$ in Indonesia, 4.5 million US$ in Peru and 2.8 million US$ in Dominican Republic (all in 2012 US$). The proportions of the different cost components (vector control; surveillance; information, education and communication; direct medical and indirect costs), as percentage of total costs, differed across the respective countries. Resources used for dengue disease control and treatment were country specific. CONCLUSIONS: The evidence so far collected further confirms the methodological challenges in this field: 1) to define technically dengue outbreaks (what do we measure?) and 2) to measure accurately the costs in prospective field studies (how do we measure?). Currently, consensus on the technical definition of an outbreak is sought through the International Research Consortium on Dengue Risk Assessment, Management and Surveillance (IDAMS). Best practice guidelines should be further developed, also to improve the quality and comparability of cost study findings. Modelling the costs of dengue outbreaks and validating these models through field studies should guide further research.","Stahl HC, Butenschoen VM, Tran HT, Gozzer E, Skewes R, Mahendradhata Y, Runge-Ranzinger S, Kroeger A, Farlow A",BMC Public Health,2013 Nov 6,Dengue Fever AND Indonesia
27908746,"Willingness to pay for a dengue vaccine and its associated determinants in Indonesia: A community-based, cross-sectional survey in Aceh.","Vaccination strategies are being considered as a part of dengue prevention programs in endemic countries. To accelerate the introduction of dengue vaccine into the public sector program and private markets, understanding the private economic benefits of a dengue vaccine is therefore essential. The aim of this study was to assess the willingness to pay (WTP) for a dengue vaccine among community members in Indonesia and its associated explanatory variables. A community-based, cross-sectional survey was conducted in nine regencies of Aceh province, Indonesia, from November 2014 to March 2015. A pre-tested validated questionnaire was used to facilitate the interviews. To assess the explanatory variables influencing participants' WTP for a dengue vaccine, a linear regression analysis was employed. We interviewed 677 healthy community members; 476 participants (87.5% of the total) were included in the final analysis. An average individual was willing to pay around US-$ 4 (mean: US-$ 4.04; median: US-$ 3.97) for a dengue vaccine. Our final multivariate model revealed that working as a civil servant, living in the city, and having good knowledge on dengue viruses, a good attitude towards dengue, and good preventive practice against dengue virus infection were associated with a higher WTP (P<0.05). Our model suggests that marketing efforts should be directed to community members who are working in the suburbs especially as farmers. In addition, the results of our study underscore the need for low-cost quality vaccines, public sector subsidies for vaccinations, and intensifying efforts to further educate and encourage households regarding other dengue preventive measures, using trusted individuals as facilitators.","Harapan H, Anwar S, Bustamam A, Radiansyah A, Angraini P, Fasli R, Salwiyadi S, Bastian RA, Oktiviyari A, Akmal I, Iqbalamin M, Adil J, Henrizal F, Darmayanti D, Mahmuda M, Mudatsir M, Imrie A, Sasmono RT, Kuch U, Shkedy Z, Pramana S",Acta Trop,2017 Feb,Dengue Fever AND Indonesia
34097704,Worldwide dynamic biogeography of zoonotic and anthroponotic dengue.,"Dengue is a viral disease transmitted by mosquitoes. The rapid spread of dengue could lead to a global pandemic, and so the geographical extent of this spread needs to be assessed and predicted. There are also reasons to suggest that transmission of dengue from non-human primates in tropical forest cycles is being underestimated. We investigate the fine-scale geographic changes in transmission risk since the late 20th century, and take into account for the first time the potential role that primate biogeography and sylvatic vectors play in increasing the disease transmission risk. We apply a biogeographic framework to the most recent global dataset of dengue cases. Temporally stratified models describing favorable areas for vector presence and for disease transmission are combined. Our models were validated for predictive capacity, and point to a significant broadening of vector presence in tropical and non-tropical areas globally. We show that dengue transmission is likely to spread to affected areas in China, Papua New Guinea, Australia, USA, Colombia, Venezuela, Madagascar, as well as to cities in Europe and Japan. These models also suggest that dengue transmission is likely to spread to regions where there are presently no or very few reports of occurrence. According to our results, sylvatic dengue cycles account for a small percentage of the global extent of the human case record, but could be increasing in relevance in Asia, Africa, and South America. The spatial distribution of factors favoring transmission risk in different regions of the world allows for distinct management strategies to be prepared.","Aliaga-Samanez A, Cobos-Mayo M, Real R, Segura M, Romero D, Fa JE, Olivero J",PLoS Negl Trop Dis,2021 Jun,Dengue Fever AND Indonesia
29486714,"Knowledge, attitude, and practice regarding dengue virus infection among inhabitants of Aceh, Indonesia: a cross-sectional study.","BACKGROUND: The Indonesian region of Aceh was the area most severely affected by the earthquake and tsunami of 26 December 2004. Department of Health data reveal an upward trend of dengue cases in Aceh since the events of the tsunami. Despite the increasing incidence of dengue in the region, there is limited understanding of dengue among the general population of Aceh. The aim of this study was to assess the knowledge, attitude, and practice (KAP) regarding dengue among the people of Aceh, Indonesia in order to design intervention strategies for an effective dengue prevention program. METHODS: A community-based cross-sectional study was conducted in Aceh between November 2014 and March 2015 with a total of 609 participants living in seven regencies and two municipalities. Information on the socio-demographic characteristics of participants and their KAP regarding dengue was collected using a pre-tested structured questionnaire. The KAP status (good vs. poor) of participants with different socio-demographic characteristics was compared using Chi Square-test, ANOVA or Fisher's exact test as appropriate. Logistic regression analysis was used to determine the predictors of each KAP domain. RESULTS: We found that 45% of participants had good knowledge regarding dengue and only 32% had good attitudes and good dengue preventive practices. There was a significant positive correlation between knowledge and attitudes, knowledge and practice, and attitudes and practice. In addition, people who had good knowledge were 2.7 times more likely to have good attitudes, and people who had good attitudes were 2.2 times more likely to have good practices regarding dengue. The level of education, occupation, marital status, monthly income, socioeconomic status (SES) and living in the city were associated with the knowledge level. Occupation, SES, and having experienced dengue fever were associated with attitudes. Education, occupation, SES and type of residence were associated with preventive practices. CONCLUSION: Our study suggests that dengue prevention programs are required to increase KAP levels regarding dengue in the communities of Aceh.","Harapan H, Rajamoorthy Y, Anwar S, Bustamam A, Radiansyah A, Angraini P, Fasli R, Salwiyadi S, Bastian RA, Oktiviyari A, Akmal I, Iqbalamin M, Adil J, Henrizal F, Darmayanti D, Pratama R, Setiawan AM, Mudatsir M, Hadisoemarto PF, Dhimal ML, Kuch U, Groneberg DA, Imrie A, Dhimal M, Muller R",BMC Infect Dis,2018 Feb 27,Dengue Fever AND Indonesia
33115680,Serological cross-reaction and coinfection of dengue and COVID-19 in Asia: Experience from Indonesia.,"Similar symptoms and laboratory findings between dengue and coronavirus disease 2019 (COVID-19) pose a diagnostic challenge in some dengue-endemic countries in Asia. In this study, we reported three cases of suspected COVID-19-dengue coinfection in hospitals of Bali, Indonesia. Serological data demonstrated that patients with positive results for dengue virus (DENV) NS1 antigen and anti-dengue IgM were also reactive to COVID-19 rapid antibody tests, suggesting dengue-COVID-19 coinfection. However, two patients were later confirmed negative for SARS-COV-2 by qRT-PCR, implying a plausible cross-reactivity of anti-dengue and anti-COVID-19 antibodies in the serological test. Coinfection of dengue and COVID-19 was evident in one patient, following confirmation of SARS-COV-2 by qRT-PCR and DENV infection using the NS1 antigen serology test. This case was the first case of dengue and COVID-19 coinfection in Indonesia and revealed possible cross-reactivity between SARS-COV-2 and DENV antibodies based on rapid serological tests. Our study indicates a public health concern regarding COVID-19 and dengue detection in Indonesia as well as in other dengue-endemic countries, and it is important for these nations to manage both pathogens concurrently.","Masyeni S, Santoso MS, Widyaningsih PD, Asmara DW, Nainu F, Harapan H, Sasmono RT",Int J Infect Dis,2021 Jan,Dengue Fever AND Indonesia
36533754,"The effects of climate factors, population density, and vector density on the incidence of dengue hemorrhagic fever in South Jakarta Administrative City 2016-2020: an ecological study.","BACKGROUND AND AIM: Dengue hemorrhagic fever (DHF) is an infectious disease caused by the dengue virus (DENV) and is transmitted through the bite of the Aedes aegypti and Aedes albopictus mosquitoes. This study aims to analyze the relationship between the incidence of DHF which can be influenced by climatic factors in the same month (non-time lag), climatic factors with a lag of 1 month (time lag 1), climatic factors with a lag of 2 months (time lag 2), population density, and vector density. METHODS: The study design used is an ecological study. The data is sourced from the South Jakarta City Administration of Health, the South Jakarta City Administration of Central Statistics, and the Meteorology, Climatology and Geophysics Agency. Data were analyzed using correlation test. RESULTS: The results showed that the incidence of DHF was related to non-time lag rainfall, time lag 1, and time lag 2, air temperature time lag 2, air humidity non-time lag, time lag 1, and time lag 2, population density, and numbers of mosquito's larvae free index (ABJ). CONCLUSIONS: DHF is still a disease that needs to be watched out for in the South Jakarta Administrative City, requiring the government and the people of the South Jakarta Administration to continue to increase efforts to prevent and control DHF.","Amelinda YS, Wulandari RA, Asyary A",Acta Biomed,2022 Dec 16,Dengue Fever AND Indonesia
16507313,"Four dengue virus serotypes found circulating during an outbreak of dengue fever and dengue haemorrhagic fever in Jakarta, Indonesia, during 2004.","Periodic outbreaks of dengue have emerged in Indonesia since 1968, with the severity of resulting disease increasing in subsequent years. In early 2004, a purported dengue outbreak erupted across the archipelago, with over 50,000 cases and 603 deaths reported. To confirm the disease aetiology and to provide an epidemiological framework of this epidemic, an investigation was conducted in ten hospitals within the capital city of Jakarta. Clinical and laboratory findings were determined from a cohort of 272 hospitalised patients. Exposure to dengue virus was determined in 180 (66.2%) patients. When clinically assessed, 100 (55.6%) of the 180 patients were classified as having dengue fever (DF), 31 (17.2%) as DF with haemorrhagic manifestations and 49 (27.2%) as dengue haemorrhagic fever (DHF). Evidence from haemagglutination inhibition assays suggested that 33/40 (82.5%) of those with DHF from which laboratory evidence was available suffered from a secondary dengue infection. All four dengue viruses were identified upon viral isolation, with DEN-3 being the most predominant serotype recovered, followed by DEN-4, DEN-2 and DEN-1. In summary, the 2004 outbreak of dengue in Jakarta, Indonesia, was characterised by the circulation of multiple virus serotypes and resulted in a relatively high percentage of a representative population of hospitalised patients developing DHF.","Suwandono A, Kosasih H, Nurhayati, Kusriastuti R, Harun S, Ma'roef C, Wuryadi S, Herianto B, Yuwono D, Porter KR, Beckett CG, Blair PJ",Trans R Soc Trop Med Hyg,2006 Sep,Dengue Fever AND Indonesia
30113689,"Dengue infection in international travellers visiting Bali, Indonesia.","BACKGROUND: Dengue, an acute febrile illness caused by infection with dengue virus (DENV), is endemic in Bali, Indonesia. As one of the world's most popular tourist destinations, Bali is regularly visited by domestic and international travellers, who are prone to infection by endemic pathogens, including DENV. Currently, limited data are available on the characteristics of dengue in travellers visiting Bali. Information on the epidemiology and virological aspects of dengue in these tourists is important to gain a better understanding of the dengue disease in international travellers. METHODS: We performed a prospective cross-sectional dengue study involving foreign travellers visiting Bali, Indonesia in the period of 2015-17. Patients presenting at Kasih Ibu Hospital with fever and clinical symptoms of dengue were asked to participate in the study. Clinical and laboratory assessments were performed and sera were collected for molecular analysis, which included DENV serotyping, genome sequencing and phylogenetic analysis. RESULTS: Among the 201 patients recruited, dengue was confirmed in 133 (66.2%) of them, based on detection of NS1 antigen and/or viral RNA. Of these, 115 (86.5%) manifested dengue fever (DF) and 18 (13.5%) dengue haemorrhagic fever (DHF). The temporal predominance of infecting DENV serotype was DENV-2 (48.7%), followed by DENV-3 (36.1%), DENV-1 (9.2%) and DENV-4 (3.4%). Phylogenetic analysis of DENV based on envelope gene sequences revealed that the source of DENVs was local endemic viruses. CONCLUSION: Our study confirms that dengue is one of the causes of fever in travellers visiting Bali. Although it is a cause of significant morbidity, the majority of patients only experienced mild DF, with only a small proportion developing DHF. We revealed that DENVs isolated were autochthonous. Accurate diagnosis, preventive measures and continuous disease surveillance will be useful for better management of dengue infection in travellers.","Masyeni S, Yohan B, Somia IKA, Myint KSA, Sasmono RT",J Travel Med,2018 Aug 1,Dengue Fever AND Indonesia
